"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Fields (CHI)","15","29","51.7","282","9.7","4","0","3","11","57","0","0","1","33.0","33.0","96.7%"
"2","Josh Allen (BUF)","27","40","67.5","359","9.0","2","1","0","4","14","1","0","1","28.8","28.8","100.0%"
"3","Jalen Hurts (PHI)","25","38","65.8","303","8.0","1","1","1","15","72","1","0","1","28.3","28.3","100.0%"
"4","Jared Goff (DET)","20","28","71.4","236","8.4","3","0","2","2","0","1","0","1","27.4","27.4","72.0%"
"5","Sam Howell (WAS)","37","51","72.5","388","7.6","2","1","5","4","19","0","0","1","26.4","26.4","28.1%"
"6","Desmond Ridder (ATL)","28","37","75.7","329","8.9","1","0","0","4","10","1","0","1","26.2","26.2","6.5%"
"7","Brock Purdy (SF)","17","24","70.8","252","10.5","4","0","1","0","0","0","0","1","26.1","26.1","84.9%"
"8","Joe Burrow (CIN)","36","46","78.3","317","6.9","3","1","3","4","7","0","0","1","24.4","24.4","97.6%"
"9","Bryce Young (CAR)","25","41","61.0","247","6.0","3","2","1","1","4","0","0","1","20.3","20.3","10.7%"
"10","Kirk Cousins (MIN)","29","47","61.7","284","6.0","2","0","3","3","5","0","0","1","19.9","19.9","93.6%"
"11","Patrick Mahomes II (KC)","31","41","75.6","281","6.9","2","0","2","0","0","0","0","1","19.2","19.2","100.0%"
"12","Tua Tagovailoa (MIA)","22","30","73.3","308","10.3","2","2","1","2","6","0","0","1","18.9","18.9","97.2%"
"13","Russell Wilson (DEN)","20","31","64.5","196","6.3","2","0","4","7","49","0","1","1","18.7","18.7","61.2%"
"14","Matthew Stafford (LAR)","21","37","56.8","222","6.0","2","0","4","0","0","0","0","1","16.9","16.9","62.7%"
"15","Trevor Lawrence (JAC)","25","37","67.6","315","8.5","1","0","5","7","31","0","2","1","15.7","15.7","92.8%"
"16","Derek Carr (NO)","18","26","69.2","183","7.0","2","0","2","2","4","0","0","1","15.7","15.7","19.5%"
"17","C.J. Stroud (HOU)","20","35","57.1","249","7.1","1","0","0","1","2","0","0","1","14.2","14.2","67.3%"
"18","Kenny Pickett (PIT)","18","32","56.3","224","7.0","1","0","3","6","-6","0","0","1","12.4","12.4","17.9%"
"19","Jimmy Garoppolo (LV)","22","31","71.0","208","6.7","1","1","3","4","4","0","0","1","11.7","11.7","13.4%"
"20","Lamar Jackson (BAL)","22","38","57.9","236","6.2","0","1","4","6","45","0","1","1","10.9","10.9","99.7%"
"21","Ryan Tannehill (TEN)","23","34","67.6","264","7.8","0","1","1","2","12","0","0","1","10.8","10.8","5.6%"
"22","Joshua Dobbs (ARI)","15","32","46.9","166","5.2","2","2","3","3","1","0","1","1","10.7","10.7","20.9%"
"23","Zach Wilson (NYJ)","19","26","73.1","199","7.7","0","1","4","3","26","0","0","1","9.6","9.6","7.2%"
"24","Jordan Love (GB)","16","30","53.3","182","6.1","0","3","2","2","37","0","0","1","8.0","8.0","60.7%"
"25","Dak Prescott (DAL)","14","24","58.3","153","6.4","1","3","3","1","2","0","0","1","7.3","7.3","80.3%"
"26","Daniel Jones (NYG)","14","20","70.0","119","6.0","0","0","6","4","24","0","0","1","7.2","7.2","44.2%"
"27","Gardner Minshew II (IND)","11","14","78.6","155","11.1","0","0","0","2","1","0","0","1","6.3","6.3","5.8%"
"28","Tyrod Taylor (NYG)","9","12","75.0","86","7.2","0","0","1","3","14","0","0","1","4.8","4.8","1.3%"
"29","Anthony Richardson (IND)","9","12","75.0","98","8.2","0","0","1","2","5","0","0","1","4.4","4.4","74.9%"
"30","Bailey Zappe (NE)","3","9","33.3","22","2.4","0","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"31","Mac Jones (NE)","12","22","54.5","110","5.0","0","2","2","1","0","0","1","1","0.4","0.4","7.0%"
"32","Andy Dalton (CAR)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","0.6%"
"33","Cooper Rush (DAL)","2","2","100.0","8","4.0","0","0","1","1","-2","0","0","1","0.1","0.1","0.1%"
"34","Aaron Rodgers (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0%"
"35","Jake Luton (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"36","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Kellen Mond (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"39","Justin Herbert (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.7%"
"40","David Blough (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Tyler Huntley (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"42","Jake Fromm (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"44","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"45","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"46","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Ben DiNucci (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"51","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"55","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"56","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"58","Nathan Rourke (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"60","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Malik Cunningham (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"62","Holton Ahlers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"64","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"65","Jaren Hall (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Max Duggan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Malik Willis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"69","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.4%"
"70","Brett Rypien (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"72","Blaine Gabbert (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"73","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Brett Ratliff (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Brian Hoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"81","Nick Mullens (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","PJ Walker (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"83","Mason Rudolph (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Logan Woodside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Mitch Trubisky (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"87","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.0%"
"88","Nathan Peterman (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Baker Mayfield (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.6%"
"90","Nate Sudfeld (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Will Grier (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","John Wolford (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Drew Lock (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"95","Mike White (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"96","Kyle Allen (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"97","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Tim Boyle (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Geno Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64.2%"
"100","AJ McCarron (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Marcus Mariota (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"103","Jeff Driskel (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Jacoby Brissett (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"105","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Sean Mannion (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
